Clade,Samples,Longitude,Latitude
5,CAS223424,-114.147649,38.91439
7,CAS223573,-108.8176667,37.3415
4,CAS223822,-121.405564,37.411406
4,CAS225318,-121.4124722,37.40876667
5,CAS227893,-112.316833,39.740667
5,CAS227958,-114.3035,38.690411
5,CAS227967,-114.515381,39.043925
5,CAS228321,-112.945833,42.108667
5,CAS229032,-112.117739,41.990389
5,CAS229056,-112.363,42.79535
7,CAS229122,-107.919,36.014167
5,CAS229140,-113.676083,41.95375
7,CAS229197,-111.0645,38.8405
5,CAS229263,-112.2716889,40.42815
5,CAS229264,-112.271689,40.42815
6,CAS249496,-119.488083,41.488694
7,CAS255959,-115.207528,36.563694
4,CAS259929,-119.8173333,38.34025
6,CAS262182,-118.4268861,41.30693611
1,CSA59,-102.68178,32.1344
1,DED15,-102.97379,31.97308
1,DED49,-103.03054,32.52243
1,DJL868,-103.98285,32.7887
1,DL925,-103.705714,33.685703
1,ESP9137,-103.928545,33.070148
1,ESP9179,-103.457308,33.449192
1,ESP9279,-103.919149,33.144568
1,ESP9325,-103.798777,33.447158
1,ESP9357,-103.802146,32.604973
1,ESP9643,-103.653526,33.469582
7,JWA321,-108.9509,40.513
4,JWA332,-123.741,42.2953
1,MSB73102,-103.738028,32.689755
7,MSB79297,-108.326111,36.767222
1,MSB99861,-103.854339,33.264696
4,MVZ137458,-119.9002,38.61171
6,MVZ164924,-117.53631,38.81204
3,MVZ230564,-119.306991,34.636751
3,MVZ237413,-115.503333,30.988333
2,MVZ241511,-117.06679,36.23122
6,MVZ241513,-119.3465,47.102333
7,MVZ241598,-111.1617,39.186
4,MVZ250081,-119.79848,38.00013
4,MVZ250588,-122.447229,40.752781
4,MVZ252064,-120.74738,40.91414
4,MVZ252067,-120.789,40.66259
4,MVZ252078,-120.76374,40.55468
3,MVZ269809,-118.6141,35.4522
7,OCGR6561,-108.454722,45.057917
7,OCGR6619,-108.443889,45.905083
7,ROM23273,-107.21056,39.40222
3,ROM46983,-116.776,33.808
2,TC2944,-118.18857,37.33319
3,TC3954,-118.0628,34.216585
2,TC4331,-118.52386,37.65153
2,TC4341,-118.48801,37.71684
2,TC4438,-119.11156,37.82275
3,TC4585,-116.96328,34.23111
3,TC4589,-116.935497,34.139381
3,TC4637,-117.810523,34.311586
3,TC4668,-117.585506,34.222977
3,TC4793,-118.10366,34.24802
2,TC5493,-118.41381,37.13055
2,TC5533,-118.2278,36.58922
4,TC5539,-122.33071,41.28303
4,TC5548,-122.23374,41.35211
4,TC5566,-120.7221,39.31532
1,TCWC10476,-103.93671,33.064589
1,TX1201,-102.97412,31.95147
7,YPM014969,-107.34803,36.56081
7,YPM014978,-107.7542,36.2567
4,MVZ228761,-122.32,38.9221
6,MVZ251463,-118.681,38.4121
7,MVZ241595,-110.734,39.6242
3,MVZ161290,30.0644,-115.579
3,JWA268,-116.418,32.872
3,JWA260,-116.878,33.3426
4,MVZ228755,-120.658,38.8964
6,CAS262235,-118.693642,42.669769
